Name EN,Name CN
Golf Game (Japan) (Alt),高尔夫游戏
Golvellius (Japan),高尔维流斯
Gomok Narabe - Omo Go (Japan) (Alt),五子棋
Gomok Narabe - Omo Go (Japan),五子棋
"Goonies, The (Japan)",七宝奇谋
"Goonies, The (Japan) (Alt 2)",七宝奇谋
"Goonies, The (Japan) (Alt)",七宝奇谋
GP World (Japan),GP世界
Gradius (Japan) (Wii U Virtual Console),宇宙巡航机
"Gradius 2 (Japan, Europe) (En) (Wii U Virtual Console)",宇宙巡航机 2
Green Beret (Europe),绿色兵团
Green Beret (Europe) (Alt),绿色兵团
Grog's Revenge (Japan) (Alt),格洛格的复仇
Grog's Revenge (Japan),格洛格的复仇
Guardic (Japan),嘉蒂战机
Guardic (Japan) (Alt),嘉蒂战机
Gulkave (Japan) (Alt),高尔卡威战机
Gulkave (Japan),高尔卡威战机
Gun Fright (Japan),快枪手
Gunjin Shougi Mars (Japan),大将
Gyrodine (Japan),战斗直升机
H.E.R.O. (Japan),英雄
Hades no Monsho (Japan),暗之龙王 - 哈德苏之纹章
Hades no Monsho (Japan) (Alt),暗之龙王 - 哈德苏之纹章
Hafanuda Koi Koi - Gostop Godori (Japan),恋爱花札
Haja No Fuin (Japan),霸邪之封印
Hanafuta (Japan),花扎
Hang-On (Japan) (Alt 2),摩托车筐体
Hang-On (Japan) (Alt),摩托车筐体
Hang-On (Japan),摩托车筐体
Harapeko Pakkun (Japan),松鼠帕克君
Harryfox MSX Special (Japan),哈利狐 - MSX特别版
Harryfox Yki No Maoh (Japan),哈利狐 - 雪之魔王
Haunted Boynight (Japan),
Heavy Boxing (Japan),重量拳击
Heavy Boxing (Japan) (Alt),重量拳击
"Heist, The (Japan)",偷天盗影
Helitank (Japan),黑利坦克
High Way Star (Korea),高速之星
High Way Star (Japan),高速之星
Hisya (Japan),飞车
Hitsuji Yai - Preety Sheep (Japan),圈羊记
Hole in One (Japan),一杆高尔夫
Hole in One (Japan) (Alt),一杆高尔夫
Hole in One (Japan) (Alt 2),一杆高尔夫
Hole in One (Japan) (Alt 3),一杆高尔夫
Hole in One Professional (Japan),一杆高尔夫 专业版
Hole in One Professional (Japan) (Alt),一杆高尔夫 专业版
Home Calc (Japan) (Program),家庭计算器
Home Writer (Japan) (Program),
Honkball (Japan),
Hopper (Europe),小车过河
Hudson 3D Golf (Japan),哈德森3D高尔夫
Hudson 3D Golf (Japan) (Alt),哈德森3D高尔夫
Hustle! Chumy (Japan),忙碌小白鼠
Hustle! Chumy (Japan) (Alt),忙碌小白鼠
Hydlide (Japan),梦幻仙境
Hydlide 3 - The Space Memories (Japan),梦幻仙境 3 - 记忆空间
Hydlide II - Shine of Darkness (Japan),梦幻仙境 2 - 黑暗光芒
Hydlide II - Shine of Darkness (Japan) (Alt),梦幻仙境 2 - 黑暗光芒
Hyper Olympic 1 (Japan),超级奥林匹克 1
Hyper Olympic 2 (Japan),超级奥林匹克 2
Hyper Rally (Japan) (Alt 2),超级拉力赛
Hyper Rally (Japan) (Alt),超级拉力赛
Hyper Rally (Japan) (Alt 3),超级拉力赛
Hyper Rally (Japan),超级拉力赛
Hyper Sports 1 (Japan),超级运动
Hyper Sports 1 (Japan) (Alt),超级运动
Hyper Sports 2 (Japan) (Wii U Virtual Console),超级运动 2
Hyper Sports 3 (Japan),超级运动 3
Hyper Sports 3 (Japan) (Alt 2),超级运动 3
Hyper Sports 3 (Japan) (Alt),超级运动 3
Ice World (Japan),冰世界
Iga Ninpouten - Small Ninja (Japan),尹贺忍法帖
Iga Ninpouten 2 - Small Ninja 2 (Japan),尹贺忍法帖 2 - 满月城之战
Indian no Bouken (Japan),印第安的回旋镖
Iriegas (Japan),艾利尔迷宫
Iriegas - Theseus (Japan),
Iriegas - Theseus (Japan) (Alt),
Issunhoushi No Donnamondai (Japan) (Alt),一寸法师漂流记
Issunhoushi No Donnamondai (Japan),一寸法师漂流记
J.P. Winkle (Japan),JP温克
Jagur (Japan),捷豹
Jagur (Japan) (Alt),捷豹
Janka (Japan),雀华
Japanese MSX-Write (Japan) (Program),日语文件
Jet Set Willy (Japan),威利闯关
Jet Set Willy (Japan) (Alt),威利闯关
Jigsaw Set (Japan),拼图游戏
Jissen - 4-nin Mahjong (Japan),实战四人麻将
Jisyo Data (Japan) (Program),名数辞典
Joytelop (Japan) (Program),手柄编程
Jump (Japan),跳跃精灵
Jump Coaster (Japan),跳跃柯斯达
Jump Land (Japan),跳跃大陆
Jumping Rabbit (Japan),跳跃兔
Juno First (Japan) (Alt),第一飞船
Juno First (Japan),第一飞船
Jyan Friend (Japan),泰土雀友
Jyankyo (Japan),四人麻将
Jyanyuu (Japan),雀友
"Kage no Densetsu - Legend of Kage, The (Japan) (Alt)",影子传说
"Kage no Densetsu - Legend of Kage, The (Japan)",影子传说
Kakikukekon (Japan) (Program),卡其画板
Karamaru (Japan),加罗丸珍道中
Karuizawa (Japan),轻井泽
"Keiba, The (Japan) (Program)",骑师之道
Kekkyoku Nankyoku Dai Bouken (Japan) (Wii U Virtual Console),南极大冒险
Keystone Kapers (Japan),密码箱守卫
Keystone Kapers (Japan) (Alt),密码箱守卫
Kick It (Japan),踢腿吃豆
