Name EN,Name ZH
Fighting Cup (Japan),格斗传承(日版)
Fighting Force 64 (Europe),格斗力量64(欧版)
Fighting Force 64 (USA),格斗力量64(美版)
Flying Dragon (Europe),飞龙之拳(欧版)
Flying Dragon (USA),飞龙之拳(美版)
"Forsaken (Europe) (En,Fr,Es,It)","浩劫余生(欧版)(英,法,西,意)"
Forsaken (Germany),浩劫余生(德国)
Forsaken 64 (USA),浩劫余生64(美版)
Fox Sports College Hoops '99 (USA),福克斯篮球'99(美版)
Fushigi no Dungeon - Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou! (Japan),风来的西林-不可思议的迷宫2(日版)
G.A.S.P!! Fighters' NEXTream (Europe),死亡格斗(欧版)
G.A.S.P!! Fighters' NEXTream (Japan),死亡格斗(日版)
"GT 64 - Championship Edition (Europe) (En,Fr,De)","GT赛车64-冠军杯版(欧版)(英,法,德)"
GT 64 - Championship Edition (USA),GT赛车64-冠军杯版(美版)
Ganbare Goemon - Dero Dero Douchuu Obake Tenkomori (Japan),大盗伍佑卫门-道中除妖记(日版)
Ganbare Goemon - Neo Momoyama Bakufu no Odori (Japan),大盗伍佑卫门-桃山幕府记(日版)
Ganbare! Nippon! Olympics 2000 (Japan),加油-日本奥运2000(日版)
Gauntlet Legends (Europe),圣铠传说(欧版)
Gauntlet Legends (Japan),圣铠传说(日版)
Gauntlet Legends (USA),圣铠传说(美版)
Getter Love!! - Cho Renai Party Game Tanjou (Japan),恋爱派对(日版)
"Gex 3 - Deep Cover Gecko (Europe) (En,Es,It)","壁虎杰克斯3(欧版)(英,西,意)"
"Gex 3 - Deep Cover Gecko (Europe) (Fr,De)","壁虎杰克斯3(欧版)(法,德)"
Gex 3 - Deep Cover Gecko (USA),壁虎杰克斯3(美版)
Gex 64 - Enter the Gecko (Europe),壁虎杰克斯64(欧版)
Gex 64 - Enter the Gecko (USA),壁虎杰克斯64(美版)
"Glover (Europe) (En,Fr,De)","手套小子(欧版)(英,法,德)"
Glover (USA),手套小子(美版)
Goemon - Mononoke Sugoroku (Japan),大盗伍佑卫门-魔法双六(日版)
Goemon's Great Adventure (USA),大盗伍佑卫门2(美版)
Golden Nugget 64 (USA),职业赌场64(美版)
GoldenEye 007 (Europe),黄金眼007(欧版)
GoldenEye 007 (Japan),黄金眼007(日版)
GoldenEye 007 (USA),黄金眼007(美版)
HSV Adventure Racing! (Australia),HSV冒险赛车(澳版)
Hamster Monogatari 64 (Japan),仓鼠物语64(日版)
Harukanaru Augusta - Masters '98 (Japan),遥远的奥古斯塔-大师赛'98(日版)
Harvest Moon 64 (USA),牧场物语64(美版)
Heiwa Pachinko World 64 (Japan),平和柏青哥世界64(日版)
"Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl)","大力士-传奇旅程(欧版)(英,法,德,西,意,荷)"
Hercules - The Legendary Journeys (USA),大力士-传奇旅程(美版)
Hexen (Europe),毁灭巫师(欧版)
Hexen (France),毁灭巫师(法国)
Hexen (Germany),毁灭巫师(德国)
Hexen (Japan),毁灭巫师(日版)
Hexen (USA),毁灭巫师(美版)
"Hey You, Pikachu! (USA)",你好皮卡丘(美版)
Hiryuu no Ken Twin (Japan),飞龙之拳(日版)
Holy Magic Century (Europe),圣魔世纪(欧版)
Holy Magic Century (France),圣魔世纪(法国)
Holy Magic Century (Germany),圣魔世纪(德国)
Hoshi no Kirby 64 (Japan),星之卡比64(日版)
Hoshi no Kirby 64 (Japan) (Rev 1),星之卡比64(日版)(版本1)
Hoshi no Kirby 64 (Japan) (Rev 2),星之卡比64(日版)(版本2)
Hoshi no Kirby 64 (Japan) (Rev 3),星之卡比64(日版)(版本3)
"Hot Wheels - Turbo Racing (Europe) (En,Fr,De)","风火轮-涡轮赛车(欧版)(英,法,德)"
Hot Wheels - Turbo Racing (USA),风火轮-涡轮赛车(美版)
Human Grand Prix - The New Generation (Japan),休曼GP赛车(日版)
"Hybrid Heaven (Europe) (En,Fr,De)","混沌天堂(欧版)(英,法,德)"
Hybrid Heaven (Japan),混沌天堂(日版)
Hybrid Heaven (USA),混沌天堂(美版)
Hydro Thunder (Europe),雷霆快艇(欧版)
Hydro Thunder (France),雷霆快艇(法国)
Hydro Thunder (USA),雷霆快艇(美版)
Hyper Olympics in Nagano 64 (Japan),长野冬季奥运会64(日版)
Ide Yosuke no Mahjong Juku (Japan),井出洋介的麻雀塾(日版)
Iggy's Reckin' Balls (Europe),伊基滚滚球(欧版)
Iggy's Reckin' Balls (USA),伊基滚滚球(美版)
Iggy-kun no Bura Bura Poyon (Japan),伊基滚滚球(日版)
In-Fisherman - Bass Hunter 64 (Europe),巴斯鲈猎人64(欧版)
In-Fisherman - Bass Hunter 64 (USA),巴斯鲈猎人64(美版)
Indiana Jones and the Infernal Machine (USA),印第安纳琼斯与恶魔机器(美版)
Indy Racing 2000 (USA),印地赛车2000(美版)
International Superstar Soccer '98 (Europe),国际超级明星足球'98(欧版)
International Superstar Soccer '98 (USA),国际超级明星足球'98(美版)
"International Superstar Soccer 2000 (Europe) (En,De)","国际超级明星足球2000(欧版)(英,德)"
"International Superstar Soccer 2000 (Europe) (Fr,It)","国际超级明星足球2000(欧版)(法,意)"
"International Superstar Soccer 2000 (USA) (En,Es)","国际超级明星足球2000(美版)(英,西)"
"International Superstar Soccer 2000 (USA) (En,Es) (Rev 1)","国际超级明星足球2000(美版)(英,西)(版本1)"
International Superstar Soccer 64 (Europe),国际超级明星足球64(欧版)
International Superstar Soccer 64 (USA),国际超级明星足球64(美版)
"International Track & Field - Summer Games (Europe) (En,Fr,De)","国际田径-夏季运动会(欧版)(英,法,德)"
International Track & Field 2000 (USA),国际田径2000(美版)
Itoi Shigesato no Bass Tsuri No. 1 Kettei Ban! (Japan),系井重里的巴斯鲈钓No.1决定版(日版)
J.League Dynamite Soccer 64 (Japan),J联盟火爆足球64(日版)
J.League Eleven Beat 1997 (Japan),Q版J联盟足球1997(日版)
J.League Live 64 (Japan),J联盟足球64(日版)
J.League Tactics Soccer (Japan),J联盟战术足球(日版)
J.League Tactics Soccer (Japan) (Rev 1),J联盟战术足球(日版)(版本1)
Jangou Simulation Mahjong Dou 64 (Japan),雀豪模拟-麻雀道64(日版)
Jeopardy! (USA),危险边缘知识问答(美版)
Jeremy McGrath Supercross 2000 (Europe),杰里米麦格拉思超级越野摩托赛2000(欧版)
Jeremy McGrath Supercross 2000 (USA),杰里米麦格拉思超级越野摩托赛2000(美版)
"Jet Force Gemini (Europe) (En,Fr,De,Es)","喷射力量-双子星(欧版)(英,法,德,西)"
Jet Force Gemini (USA),喷射力量-双子星(美版)
Jikkyou G1 Stable (Japan),实况G1赛马(日版)
Jikkyou G1 Stable (Japan) (Rev 1),实况G1赛马(日版)(版本1)
Jikkyou J.League 1999 - Perfect Striker 2 (Japan),实况J联盟1999-最佳射手2(日版)
Jikkyou J.League 1999 - Perfect Striker 2 (Japan) (Rev 1),实况J联盟1999-最佳射手2(日版)(版本1)
Jikkyou J.League Perfect Striker (Japan),实况J联盟-最佳射手(日版)
Jikkyou Powerful Pro Yakyuu - Basic Ban 2001 (Japan),实况野球2001(日版)
Jikkyou Powerful Pro Yakyuu - Basic Ban 2001 (Japan) (Rev 1),实况野球2001(日版)(版本1)
Jikkyou Powerful Pro Yakyuu 2000 (Japan),实况力量棒球2000(日版)
Jikkyou Powerful Pro Yakyuu 2000 (Japan) (Rev 1),实况力量棒球2000(日版)(版本1)
Jikkyou Powerful Pro Yakyuu 4 (Japan),实况力量棒球4(日版)
Jikkyou Powerful Pro Yakyuu 4 (Japan) (Rev 1),实况力量棒球4(日版)(版本1)
Jikkyou Powerful Pro Yakyuu 5 (Japan),实况力量棒球5(日版)
Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev 1),实况力量棒球5(日版)(版本1)
Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev 2),实况力量棒球5(日版)(版本2)
Jikkyou Powerful Pro Yakyuu 6 (Japan),实况力量棒球6(日版)
Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev 1),实况力量棒球6(日版)(版本1)
Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev 2),实况力量棒球6(日版)(版本2)
Jikkyou World Soccer - World Cup France '98 (Japan),实况世界足球-法国世界杯'98(日版)
Jikkyou World Soccer - World Cup France '98 (Japan) (Rev 1),实况世界足球-法国世界杯'98(日版)(版本1)
Jikkyou World Soccer - World Cup France '98 (Japan) (Rev 2),实况世界足球-法国世界杯'98(日版)(版本2)
Jikkyou World Soccer 3 (Japan),实况世界足球3(日版)
Jikuu Senshi Turok (Japan),恐龙猎人(日版)
Jinsei Game 64 (Japan),人生游戏64(日版)
"John Romero's Daikatana (Europe) (En,Fr,De)","大刀(欧版)(英,法,德)"
John Romero's Daikatana (Japan),大刀(日版)
John Romero's Daikatana (USA),大刀(美版)
Kakutou Denshou - F-Cup Maniax (Japan),格斗传承2(日版)
Ken Griffey Jr.'s Slugfest (USA),小肯葛瑞菲棒球(美版)
Killer Instinct Gold (Europe),杀手本能-黄金版(欧版)
Killer Instinct Gold (USA),杀手本能-黄金版(美版)
Killer Instinct Gold (USA) (Rev 1),杀手本能-黄金版(美版)(版本1)
Killer Instinct Gold (USA) (Rev 2),杀手本能-黄金版(美版)(版本2)
King Hill 64 - Extreme Snowboarding (Japan),雪地滑板王(日版)
Kiratto Kaiketsu! 64 Tanteidan (Japan),侦探团64(日版)
Kirby 64 - The Crystal Shards (Europe),星之卡比64-水晶碎片(欧版)
Kirby 64 - The Crystal Shards (USA),星之卡比64-水晶碎片(美版)
Knife Edge - Nose Gunner (Europe),刀锋边缘-前机枪手(欧版)
Knife Edge - Nose Gunner (Japan),刀锋边缘-前机枪手(日版)
Knife Edge - Nose Gunner (USA),刀锋边缘-前机枪手(美版)
Knockout Kings 2000 (Europe),击倒王2000(欧版)
Knockout Kings 2000 (USA),击倒王2000(美版)
Kobe Bryant in NBA Courtside (Europe),NBA赛场-科比布莱恩特(欧版)
Kobe Bryant in NBA Courtside (USA),NBA赛场-科比布莱恩特(美版)
"LEGO Racers (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)","乐高赛车(欧版)(英,法,德,西,意,荷,瑞,挪,丹,芬)"
"LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)","乐高赛车(美版)(英,法,德,西,意,荷,瑞,挪,丹,芬)"
Last Legion UX (Japan),最终军团UX(日版)
"Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es)","塞尔达传说-马祖拉的假面(欧版)(英,法,德,西)"
"Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es) (Rev 1)","塞尔达传说-马祖拉的假面(欧版)(英,法,德,西)(版本1)"
"Legend of Zelda, The - Majora's Mask (USA)",塞尔达传说-马祖拉的假面(美版)
"Legend of Zelda, The - Ocarina of Time (Europe) (En,Fr,De)","塞尔达传说-时之笛(欧版)(英,法,德)"
"Legend of Zelda, The - Ocarina of Time (Europe) (En,Fr,De) (Rev 1)","塞尔达传说-时之笛(欧版)(英,法,德)(版本1)"
"Legend of Zelda, The - Ocarina of Time (USA)",塞尔达传说-时之笛(美版)
"Legend of Zelda, The - Ocarina of Time (USA) (Rev 1)",塞尔达传说-时之笛(美版)(版本1)
"Legend of Zelda, The - Ocarina of Time (USA) (Rev 2)",塞尔达传说-时之笛(美版)(版本2)
Let's Smash (Japan),中心球场网球赛(日版)
