Name EN,Name CN
"Giana Sisters - Twisted Dreams - Director's Cut (USA) (En,Fr,Es)",吉安娜姐妹扭曲的梦
"Smurfs 2, The (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da)",蓝精灵 2
"LEGO Dimensions (Europe) (En,Fr,De,Nl,Da) (Rev 1)",乐高次元
"Wii Sports Club (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Rev 1)",Wii运动俱乐部
"Hello Kitty Kruisers (Europe) (En,Fr,De,Es,It)",凯蒂猫爱竞速
"Skylanders - Imaginators (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",小龙斯派罗 - 幻想者
"Just Dance Kids 2014 (Europe) (En,Fr,Es)",舞力全开 儿童 2014
"Fast Racing Neo (Europe) (En,Fr,De,Es,It)",极速赛车 NEO
"Darksiders - Warmastered Edition (Europe) (En,Fr,De,Es,It,Pt,Zh,Pl,Ru,Cs)",暗黑血统 战神版
"Star Fox Guard (Europe) (En,Fr,De,Es,It)",星狐警卫队
