Name EN,Name ZH
"Spider-Man - Return of the Sinister Six (USA, Europe)","蜘蛛侠-六邪回归(美版,欧版)"
Spider-Man - X-Men - Arcade's Revenge (USA),蜘蛛侠对X战警(美版)
Sports Illustrated - Championship Football & Baseball (USA),体育游戏集锦-橄榄球&棒球(美版)
Sports Trivia (USA),体育问答(美版)
Sports Trivia - Championship Edition (USA),体育问答-锦标赛版(美版)
Star Trek - The Next Generation - The Advanced Holodeck Tutorial (USA),星舰迷航记TNG-下一世纪(美版)
Star Trek Generations - Beyond the Nexus (USA),星舰迷航记-继往开来(美版)
"Star Wars (USA, Europe)","星球大战(美版,欧版)"
"Star Wars (USA, Europe) (Alt)","星球大战(美版,欧版)(替代)"
Stargate (World),星际之门(世界)
Streets of Rage (World),怒之铁拳(世界)
Streets of Rage 2 (World),怒之铁拳2(世界)
"Striker (Europe) (En,Fr,De,Es,It)","激斗球场(欧版)(英,法,德,西,意)"
Super Battletank (USA),超级战斗坦克(美版)
Super Columns (Japan),超级宝石方块(日版)
"Super Columns (USA, Europe)","超级宝石方块(美版,欧版)"
Super Golf (Japan),超级高尔夫(日版)
Super Golf (USA),超级高尔夫(美版)
"Super Kick Off (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)","超级障碍赛车(欧版)(英,法,德,西,意,荷,葡,瑞)"
Super Momotarou Dentetsu III (Japan),超级桃太郎地铁3(日版)
"Super Monaco GP (Japan, Korea) (Ja)","超级摩纳哥GP赛车(日版,韩版)(日)"
