Name EN,Name ZH
J.League Pro Soccer Club o Tsukurou! (Japan) (Rev B),J联盟职业创造球会
Find Love 2 - The Prologue (Japan),全国制服美少女 2 - 序幕
Winning Post 2 - Final '97 (Japan),赛马大亨 2 '97
"Exhumed (Europe) (En,Fr,De,Es)",掘出尸首
Night Warriors - Darkstalkers' Revenge (Europe),恶魔战士 - 恶魔的复仇
Virtual Hydlide (Europe),虚拟梦幻仙境
Croc - Legend of the Gobbos (Europe),超级克拉鳄
Sonic Jam (Europe),索尼克 JAM
Gun Griffon (Europe),武装雄狮
SimCity 2000 (Japan) (Rev A),模拟城市 2000
Virtua Fighter CG Portrait Collection (Europe),
"Road & Track Presents - The Need for Speed (Europe) (En,De)",极品飞车 1
Fighter's History Dynamite (Japan),斗士历史
Zero Divide - The Final Conflict (Japan),战斗程序零号 - 最后的冲突
Mystery Mansion - Das Haus der verlorenen Seelen (Germany),神秘大厦 - 维洛伦西伦大厦
Sega Rally Championship (USA),世嘉拉力
Street Racer Extra (Japan),街头赛车加强版
Strikers 1945 (Japan),打击者 1945
Waku^2 Monster (Japan),火热怪物蛋
Touge King the Spirits 2 (Japan),山顶赛车 2
Princess Crown (Japan) (1M),公主的皇冠
Sol Divide (Japan),太阳表决
Mobile Suit Gundam (Japan),机动战士高达
Rayman (Japan),雷曼
Willy Wombat (Japan),蝙蝠狼
Kidou Senshi Z Gundam - Kouhen Uchuu o Kakeru (Japan),机动战士 Z 高达 后篇 - 穿越穹宇
Magical Hoppers (Japan),魔法草蜢
Saturn Bomberman (Japan),土星炸弹人
Saturn Bomberman Fight!! (Japan),土星炸弹人 - 战斗
Joshikousei no Houkago... Pukunpa (Japan),女子高生放课后方块
Kidou Senshi Z Gundam - Zenpen Zeta no Kodou (Japan),机动战士 Z 高达 后篇 - Z 之脉动
PD Ultraman Link (Japan),PD奥特曼连线
Shiroki Majo - Mou Hitotsu no Eiyuu Densetsu (Japan) (Disc 1),英雄传说 3 - 白发魔女
Shiroki Majo - Mou Hitotsu no Eiyuu Densetsu (Japan) (Disc 2),英雄传说 3 - 白发魔女
Drift King Shutokou Battle '97 - Tsuchiya Keiichi & Bandou Masaaki (Japan),漂移之王 首都高赛车 '97 - 土屋启一 & 坂东正明
PriKura (Princess Kurara) Daisakusen (Japan),普里库拉公主大作战
Sengoku Blade - Sengoku Ace Episode II (Japan) (Disc 2) (Sengoku Kawaraban - Digital Edition),战国之刃 2
Sengoku Blade - Sengoku Ace Episode II (Japan) (Disc 1),战国之刃 2
DonPachi (Japan),首领蜂
Kyuukyoku Tiger II Plus (Japan),究极虎 2 加强版
Shippuu Mahou Daisakusen - Kingdom-Grandprix (Japan),疾风魔法大作战 - 王国大奖赛
Black-Matrix (Japan) (Rerelease),黑色细胞
Bubble Symphony (Japan),泡泡龙交响曲
Digital Pinball - Last Gladiators (Japan),数码弹珠台 - 最后的角斗士
Digital Pinball - Necronomicon (Japan),数码弹珠台 - 死灵之书
Doraemon - Nobita to Fukkatsu no Hoshi (Japan),哆啦梦 - 野比和复活之星
Hansha de Spark! (Japan),反射对战
Mizubaku Daibouken (Japan),水獭大冒险
Strikers 1945 II (Japan),打击者 1945 II
"Chaos Control (Europe) (En,Fr,De)",混沌控制
Sega Worldwide Soccer 97 (Europe) (Alt),世嘉 - 世界联赛足球 '97
World Cup Golf - Professional Edition (Germany) (Rev A),高尔夫世界杯 专业版
World Series Baseball (Europe),世界棒球大赛
Batsugun (Japan),惩罚之枪
Time Bokan Series - Bokan to Ippatsu! Doronbow Kanpekiban (Japan),小双侠 - 时间飞船
Dark Savior (Japan),黑暗救世主
Gals Panic SS (Japan),美少女画线 SS
Gussun Oyoyo S (Japan),豆豆君 S
Arcade Gears Vol. 4 - ImageFight & XMultiply (Japan),街机Gears 4 - 梦幻战机 & 再生战机
Kururin Pa! (Japan),雪人方块
Layer Section II (Japan),雷亚战机 2
Lunar - Silver Star Story (Japan),露娜 - 银河之星
Monster Slider (Japan),妖精魔法宝石
Arcade Gears Vol. 1 - Pu-Li-Ru-La (Japan),街机Gears 1 - 普利路拉
Shienryuu (Japan),紫炎龙
Tryrush Deppy (Japan),猛冲的戴皮
Arcade Gears Vol. 3 - Wonder 3 (Japan),街机Gears 3 - 三个奇迹
Zoku Gussun Oyoyo (Japan) (2M),豆豆君
Kanzen Chuukei Pro Yakyuu Greatest Nine (Japan) (Rev B),完全中继 - 最强九人棒球
Greatest Nine '96 (Japan) (2M),最强九人棒球 96
Fighting Vipers (Japan) (Rev A),格斗之蛇
