Name EN,Name CN
Develo Magazine Vol. 1 (Japan),Develo 杂志 vol.1
Todd's Adventures in Slime World (Japan),粘土世界
Wrestle Angels - Double Impact (Japan),摔角天使 - 双重冲击
Pop'n Magic (Japan),流行魔法
Splash Lake (USA),飞溅湖
Star Mobile (Japan),移动星星
Jim Power in Mutant Planet (Japan),吉姆力量在异变星球
Flash Hiders (Japan),闪光的躲避者
Motoroader MC (Japan),越野摩托 MC
Mahjong Clinic Special (Japan),麻将特别诊疗所
Gensou Tairiku Auleria (Japan),幻苍大陆
Basted (Japan),魔幻密宝
Doukyuusei (Japan) (Rev 4),同级生
Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FAAT),银河大小姐传说 2 - 永恒的守护公主
Fighting Street (Japan) (Rev 4),快打旋风
Chiki Chiki Boys (Japan),双麒儿
Wonder Boy III - Monster Lair (Japan) (Rev 4),神奇男孩 3 - 魔窟
"Ryuuko no Ken (Japan) (En,Ja,Es) (Demo)",龙虎之拳
Sylphia (Japan),希尔菲娅
Kabuki Ittouryoudan (Japan) (FAAT),一刀凉谈
Asuka 120Maxima - Burning Fest. Maxima (Japan),鸟 120% - 燃烧的学园祭
Kakutou Haou Densetsu - Algunos (Japan),格斗霸王传说
Steam-Heart's (Japan),蒸汽之心
ROM^2 Karaoke Volume 4 (Japan),ROM²卡拉OK 4
Virgin Dream (Japan),处女梦
Seiya Monogatari - Anearth Fantasy Stories (Japan) (Demo),圣夜物语
PC Engine Hyper Catalog CD-ROM - 1994 Summer (Japan) (Disc A),
PC Engine Hyper Catalog CD-ROM - 1994 Summer (Japan) (Disc B),
Hellfire S - The Another Story (Japan),地狱火 S
Vasteel (USA),瓦钢
Exile - Wicked Phenomenon (USA),流放 - 邪念的事象
Mad Stalker - Full Metal Force (Japan),疯狂潜入者 - 金属力量
Final Zone II (USA),最终战区 2
"Chou Aniki (Japan) (FAAT, FACT)",超兄贵
Exile (USA),流放
Valis III (USA),梦幻战士 3
Valis II (USA),梦幻战士 2
Cosmic Fantasy 2 (USA),宇宙幻想 2
Monster Lair (USA),神奇男孩
"Mysterious Song (USA) (En,Fr,Es) (Unl) (Rerelease)",神秘的歌曲
